pseudocode,total_students,total_boys,total_girls,students_primary,students_upper_primary,students_secondary,school_level,total_tch,regular,contract,part_time,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,post_graduate_and_above,graduate,classrooms_total,classrooms_pucca,classrooms_good,toilets_boys_func,toilets_girls_func,has_girls_toilet,has_boys_toilet,has_ramp,has_library,has_playground,has_electricity,has_internet,has_handwash,has_boundary_wall,has_comp_lab,has_solar,has_hm_room,ptr,ptr_threshold,ptr_violation_severity,students_per_classroom,infrastructure_gap,eligible_grant_norm,funding_ratio,growth_rate,qualified_teacher_ratio,contract_ratio,validation_label,risk_score,risk_level
1003076,1086,1086,0,0,540,312,upper_primary,42,35,0,7,28,0,6,0,21,15,26,16,24,1,24,28,0,0,1,1,1,1,1,1,1,1,1,1,1,25.86,35,-0.2611,45.25,1,100000,1,0,1,0,Flag,5.3,Low
1003536,2778,0,2778,0,914,987,secondary,58,33,4,21,43,0,13,0,27,16,40,18,28,1,28,0,25,1,0,1,1,1,1,1,1,1,0,0,1,47.9,35,0.3686,99.21,1,100000,1,0,1,0.069,Flag,28.58,Low
1005431,809,809,0,0,188,274,secondary,44,36,0,8,12,0,4,0,18,22,30,14,22,1,22,14,0,0,1,1,1,1,1,1,1,1,1,0,1,18.39,35,-0.4746,36.77,1,75000,1,0,1,0,Flag,3.33,Low
1008445,1398,810,588,561,353,259,primary,54,28,26,0,54,18,5,2,10,11,33,20,32,1,32,17,22,1,1,1,1,1,1,1,1,1,1,1,1,25.89,30,-0.137,43.69,0,100000,1,0,0.9815,0.4815,Accept,8.61,Low
1008535,332,205,127,332,0,0,primary,5,5,0,0,0,5,0,0,0,0,1,4,6,1,6,3,3,1,1,1,1,1,1,1,1,1,0,0,1,66.4,30,1.2133,55.33,0,75000,1,0,1,0,Reject,30.75,Medium
1009707,427,427,0,427,0,0,primary,6,5,1,0,5,6,0,0,0,0,2,3,6,2,0,3,0,0,1,1,1,1,1,1,1,1,0,0,1,71.17,30,1.3723,71.17,1,75000,1,0,0.8333,0.1667,Reject,42.52,Medium
1009955,6010,3658,2352,2480,1649,1066,primary,231,163,68,0,56,101,30,0,42,26,148,83,147,7,147,68,45,1,1,1,1,1,1,1,1,1,1,1,1,26.02,30,-0.1327,40.88,0,100000,1,0,1,0.2944,Accept,4.75,Low
1010863,466,267,199,213,253,0,upper_primary,6,5,1,0,0,3,3,0,0,0,1,5,14,1,14,3,3,1,1,1,1,1,1,1,1,1,0,0,1,77.67,35,1.2191,33.29,0,75000,1,0,1,0.1667,Reject,27.5,Low
1011087,146,146,0,146,0,0,primary,6,6,0,0,4,5,0,0,0,0,1,3,5,1,5,6,0,0,1,1,1,1,1,1,1,1,0,1,1,24.33,30,-0.189,29.2,1,50000,1,0,0.6667,0,Flag,3.33,Low
1012188,702,419,283,260,186,116,primary,21,3,18,0,21,8,3,0,2,4,10,11,35,1,35,9,9,1,1,1,1,1,1,1,1,1,1,0,1,33.43,30,0.1143,20.06,0,75000,1,0,1,0.8571,Flag,15.71,Low
1012908,556,556,0,556,0,0,primary,14,14,0,0,1,14,0,0,0,0,2,9,12,2,12,16,0,0,1,1,1,1,1,1,1,1,0,0,1,39.71,30,0.3237,46.33,1,75000,1,0,0.7857,0,Flag,13.8,Low
1013495,2371,2371,0,229,600,760,secondary,75,52,2,21,19,7,18,0,26,21,50,25,45,5,45,32,0,0,1,1,1,1,1,1,1,1,0,1,1,31.61,35,-0.0969,52.69,1,100000,1,0,1,0.0267,Flag,8.49,Low
1013582,259,143,116,259,0,0,primary,11,1,10,0,1,8,0,0,0,0,4,4,11,1,11,2,3,1,1,1,1,1,1,1,1,1,0,0,1,23.55,30,-0.215,23.55,0,75000,1,0,0.7273,0.9091,Flag,13.64,Low
